,lr,wd,bt,optimizer_type,loss,test_accuracy
0,0.01,0.0,32,SGD,1.3961341145538515,51.7125
1,0.01,0.0,32,Adam,1.3989737216503388,46.45
2,0.01,0.01,32,SGD,1.3662187404209567,52.5375
3,0.01,0.01,32,Adam,1.7953221480692587,33.1
4,0.01,0.0,64,SGD,1.490266828767715,47.5125
5,0.01,0.0,64,Adam,1.499438295441289,44.65
6,0.01,0.01,64,SGD,1.4921144285509664,47.2625
7,0.01,0.01,64,Adam,1.706920200778592,39.975
8,0.01,0.0,128,SGD,1.3989197400308424,50.575
9,0.01,0.0,128,Adam,1.4022680405647523,50.5125
10,0.01,0.01,128,SGD,1.431972538271258,50.0
11,0.01,0.01,128,Adam,1.6567369891751198,35.725
12,0.001,0.0,32,SGD,1.4620167055437643,49.95
13,0.001,0.0,32,Adam,1.4401646900561549,48.875
14,0.001,0.01,32,SGD,1.4632862152591828,45.85
15,0.001,0.01,32,Adam,1.482000696082269,49.625
16,0.001,0.0,64,SGD,1.4668277905833336,48.675
17,0.001,0.0,64,Adam,1.3802468286406608,51.5625
18,0.001,0.01,64,SGD,1.4353190468203636,50.1375
19,0.001,0.01,64,Adam,1.4152198760740218,51.025
20,0.001,0.0,128,SGD,1.5115475346965175,47.8375
21,0.001,0.0,128,Adam,1.3732133296228224,51.625
22,0.001,0.01,128,SGD,1.4547610552080217,46.7
23,0.001,0.01,128,Adam,1.3893414851157897,51.325
